,ACADEMIC_STAT_CODE
5026,유지
7167,유지
3366,유지
20237,유지
9119,유지
6417,유지
18447,유지
10311,유지
1215,유지
18807,유지
6653,유지
11213,유지
13038,유지
5511,유지
5975,유지
8816,유지
11488,유지
536,유지
5970,유지
13661,유지
18466,유지
15322,유지
16027,유지
8468,유지
2894,유지
9876,유지
3467,유지
7558,유지
10834,유지
624,유지
15843,유지
7290,유지
8771,유지
14068,유지
5331,유지
12407,유지
2919,유지
5070,유지
12068,유지
11327,유지
9010,유지
9249,유지
8043,유지
434,유지
509,유지
8206,유지
4100,유지
11720,유지
568,유지
1617,유지
13695,유지
6580,유지
3742,유지
7735,유지
14692,유지
4560,유지
14746,유지
10129,유지
8807,유지
1526,유지
4096,유지
19590,유지
19536,유지
19615,유지
18536,유지
6055,유지
19465,유지
5265,유지
3517,유지
15612,유지
6615,유지
5181,유지
9451,유지
13692,유지
15803,유지
2804,유지
14811,유지
15750,유지
8798,유지
8651,유지
18216,유지
14491,유지
9202,유지
7652,유지
11167,유지
1250,유지
12262,유지
4549,유지
3378,유지
5113,유지
13906,유지
6999,유지
8724,유지
14151,유지
2409,유지
4925,유지
1573,유지
13218,유지
14194,탈락
14129,유지
5591,유지
13676,유지
4242,유지
10772,유지
12215,유지
18581,유지
17195,유지
15302,탈락
11319,유지
5087,유지
20008,유지
7714,유지
20410,유지
6574,유지
6227,유지
14268,유지
13657,유지
16169,유지
6017,유지
8563,유지
16112,유지
6475,유지
4550,유지
12516,유지
6657,유지
18857,유지
9945,유지
2063,유지
3549,유지
14504,유지
5336,유지
7397,유지
3055,유지
14413,유지
9257,유지
6496,유지
6964,유지
14593,유지
308,유지
15383,유지
755,유지
18304,유지
10151,유지
13147,유지
14867,유지
3114,유지
16513,유지
7798,유지
19524,유지
9599,유지
13607,유지
9265,유지
6146,유지
6380,유지
12674,유지
8181,유지
16913,유지
11110,유지
9190,유지
11288,유지
1436,유지
9269,유지
3892,유지
7977,유지
2240,유지
17594,유지
8832,유지
2172,유지
12856,유지
13210,유지
18940,유지
129,유지
3121,유지
1909,유지
4159,유지
14198,유지
16917,유지
3075,유지
6726,유지
10637,유지
5904,유지
11971,유지
14026,탈락
670,유지
11064,유지
9447,유지
11186,유지
4927,유지
13622,유지
859,유지
7866,유지
10847,유지
20402,유지
17708,유지
1673,유지
2437,유지
11948,유지
1381,유지
15743,유지
13127,유지
358,유지
4857,유지
5054,유지
4912,유지
342,유지
20507,유지
12150,유지
5055,유지
15433,유지
10077,유지
4255,유지
4358,유지
125,유지
16653,유지
12473,유지
17162,탈락
3356,유지
8436,유지
6737,유지
19544,유지
11046,유지
11664,유지
11397,유지
10589,유지
11314,유지
7043,유지
5029,유지
2967,유지
5895,유지
7400,유지
11837,유지
6396,유지
8621,유지
6292,유지
13603,유지
1085,유지
3684,탈락
1418,유지
6128,유지
7563,유지
5,유지
4929,유지
12524,유지
13066,유지
7854,유지
5962,유지
5001,유지
15,유지
9163,유지
2582,유지
7874,유지
8065,유지
1471,유지
6334,유지
6633,유지
710,유지
