,AGE,ATTENDANCE,GRADE,INCOME_QUINTILE,PREPARE_ATTENDANCE,PREPARE_GRADE,PREPARE_join_1years_ago,PREPARE_join_2years_ago,PREPARE_join_3years_ago,PREPARE_join_4years_ago,PREPARE_join_this_year,TOTAL_JOIN,TOTAL_OFF,UNI_DIST,join_1years_ago,join_2years_ago,join_3years_ago,join_4years_ago,join_this_year,ADMISSION_수시,ADMISSION_정시,DOUBLE_MAJOR_N,DOUBLE_MAJOR_Y,OCCP_GRP_1_1.인문사회계열,OCCP_GRP_1_2.자연과학계열,OCCP_GRP_1_3.공학계열,OCCP_GRP_1_4.예체능계열,off_1years_ago_N,off_1years_ago_Y,off_2years_ago_N,off_2years_ago_Y,off_3years_ago_N,off_3years_ago_Y,off_4years_ago_N,off_4years_ago_Y,off_this_year_N,off_this_year_Y
5026,0.5,0.0,0.40000000000000013,0.5,0.038156073492727316,0.4059496565001103,0.0,0.0004948337317182867,0.0004389427812560229,0.035663391643666935,0.0,0.0,0.4,0.0016053346505309953,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
7167,0.16666666666666696,0.666666666666667,0.19999999999999996,1.0,0.5873834855915373,0.2808937187662227,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.0518779087411988,0.016483516483516484,0.4,0.07705606322548778,0.0,0.0,0.0,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
3366,0.833333333333333,0.3333333333333335,0.6000000000000001,0.75,0.37516126105881165,0.5332404690123778,0.012556821117364697,0.0031989845596449434,0.12779359186274758,0.06515473670480204,0.01114046505415214,0.038461538461538464,0.6000000000000001,0.0055040045161062695,0.0,0.0,0.125,0.06382978723404255,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
20237,0.666666666666667,0.666666666666667,1.0,1.0,0.6484692231945404,0.8934589417771888,0.004772615072904076,0.0,0.0,0.000319264408384666,0.03575619587453369,0.01098901098901099,0.4,0.011237342553716967,0.0,0.0,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
9119,0.666666666666667,0.3333333333333335,0.0,0.75,0.354777480398772,0.03513055405763238,0.03322766500003478,0.09086410602438924,0.12310679158287491,0.000319264408384666,0.005623576995612872,0.049450549450549455,0.4,0.04245218298070854,0.02857142857142857,0.09090909090909091,0.125,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
6417,0.5,1.0,0.40000000000000013,1.0,0.9192313018800332,0.4059496565001103,0.11382019970852283,0.045926886743912904,0.21587582805128713,0.035663391643666935,0.06026523775784165,0.09340659340659341,0.4,0.025685354408495925,0.11428571428571428,0.045454545454545456,0.21875,0.0,0.06060606060606061,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
18447,0.3333333333333335,0.666666666666667,0.8,1.0,0.6240455095561607,0.7673982029764925,0.06098335240468673,0.026533434661684546,0.048759360975837225,0.035663391643666935,0.003232733018761251,0.016483516483516484,0.4,0.15785790730221452,0.05714285714285714,0.022727272727272728,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
10311,0.5,0.0,0.19999999999999996,0.5,0.038156073492727316,0.23428397895619896,0.0569100998542614,0.0004948337317182867,0.0004389427812560229,0.035663391643666935,0.04519892831838124,0.027472527472527476,0.6000000000000001,0.07355351489705651,0.05714285714285714,0.0,0.0,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
1215,0.5,1.0,0.6000000000000001,1.0,0.9192313018800332,0.5776153340440215,0.11382019970852283,0.0686429132500102,0.21587582805128713,0.035663391643666935,0.015066309439460412,0.08241758241758243,0.6000000000000001,0.19424549271425043,0.11428571428571428,0.06818181818181818,0.21875,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
18807,0.5,0.666666666666667,0.8,0.25,0.6255395590842645,0.7492810115879327,0.0,0.023210860237815597,0.0004389427812560229,0.035663391643666935,0.0,0.005494505494505495,0.6000000000000001,0.006421338602123981,0.0,0.022727272727272728,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
6653,0.3333333333333335,1.0,1.0,0.5,0.9177372523519293,0.9390638805204038,0.004073252550425319,0.026533434661684546,0.048759360975837225,0.035663391643666935,0.003232733018761251,0.005494505494505495,0.4,0.012842677204247963,0.0,0.022727272727272728,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
11213,0.16666666666666696,0.3333333333333335,0.19999999999999996,0.75,0.29369174279576893,0.2808937187662227,0.06500919139943766,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.016483516483516484,0.4,0.03050135836008891,0.05714285714285714,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
13038,0.3333333333333335,0.3333333333333335,0.0,0.25,0.3303537667603923,0.08073549280084746,0.08943840233181743,0.04924946116778185,0.048759360975837225,0.035663391643666935,0.018299042458221663,0.03296703296703297,0.4,0.02836091215938092,0.08571428571428572,0.045454545454545456,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5511,0.16666666666666696,0.3333333333333335,0.19999999999999996,0.75,0.29369174279576893,0.2808937187662227,0.06500919139943766,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.016483516483516484,0.4,0.21511484317115337,0.05714285714285714,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5975,0.3333333333333335,0.0,0.40000000000000013,0.75,0.03666202396462337,0.42406684788867,0.032528302477556024,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.033365351897682076,0.016483516483516484,0.4,0.08829340577920475,0.02857142857142857,0.0,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8816,0.5,0.0,0.40000000000000013,0.5,0.038156073492727316,0.4059496565001103,0.0,0.13679099276830217,0.12354573436413097,0.035663391643666935,0.030132618878920825,0.06593406593406594,0.6000000000000001,0.1545134601136083,0.0,0.13636363636363635,0.125,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
11488,0.16666666666666696,0.3333333333333335,0.6000000000000001,0.25,0.29369174279576893,0.6242250738540452,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.006678980422817565,0.0,0.4,0.525747098048901,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
536,0.666666666666667,0.3333333333333335,0.6000000000000001,0.25,0.354777480398772,0.5501275866893661,0.004772615072904076,0.0,0.03077669789571873,0.04285887017824064,0.005623576995612872,0.016483516483516484,0.6000000000000001,0.014448011854778958,0.0,0.0,0.03125,0.0425531914893617,0.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
5970,0.3333333333333335,0.3333333333333335,1.0,1.0,0.3303537667603923,0.9390638805204038,0.004073252550425319,0.026533434661684546,0.048759360975837225,0.035663391643666935,0.09363058965552372,0.038461538461538464,0.4,0.02769202272165967,0.0,0.022727272727272728,0.0,0.0,0.09090909090909091,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
13661,0.666666666666667,1.0,0.0,1.0,0.9421609659903091,0.03513055405763238,0.03322766500003478,0.06814807951829194,0.03077669789571873,0.04285887017824064,0.020689886435073284,0.04395604395604396,0.4,0.016053346505309953,0.02857142857142857,0.06818181818181818,0.03125,0.0425531914893617,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
18466,0.16666666666666696,1.0,0.6000000000000001,1.0,0.8810752283873059,0.6242250738540452,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.0518779087411988,0.016483516483516484,0.4,0.004816003951592986,0.0,0.0,0.0,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
15322,0.5,0.666666666666667,0.8,0.5,0.6255395590842645,0.7492810115879327,0.0,0.0004948337317182867,0.031215640676974757,0.035663391643666935,0.0,0.005494505494505495,0.6000000000000001,0.49925907631513955,0.0,0.0,0.03125,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
16027,0.5,0.3333333333333335,0.40000000000000013,0.5,0.33184781628849624,0.4059496565001103,0.0,0.0004948337317182867,0.0004389427812560229,0.035663391643666935,0.015066309439460412,0.005494505494505495,0.4,0.16695480365522353,0.0,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8468,0.666666666666667,0.3333333333333335,0.40000000000000013,1.0,0.354777480398772,0.3784619091454549,0.06168271492716548,0.0,0.0,0.000319264408384666,0.08095512419291494,0.038461538461538464,0.4,0.0731573933599125,0.05714285714285714,0.0,0.0,0.0,0.07575757575757576,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
2894,0.16666666666666696,0.666666666666667,0.19999999999999996,1.0,0.5873834855915373,0.2808937187662227,0.06500919139943766,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.016483516483516484,0.4,0.046554704865398866,0.05714285714285714,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
9876,1.0,1.0,0.40000000000000013,1.0,1.0,0.34333135508782253,0.16615190250659412,0.05846539890260839,0.07669906312843816,0.0,0.0762638504417102,0.07142857142857144,0.4,0.05137070881699185,0.14285714285714285,0.045454545454545456,0.0625,0.0,0.06060606060606061,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
3467,0.666666666666667,0.3333333333333335,0.40000000000000013,0.75,0.354777480398772,0.3784619091454549,0.0901377648542962,0.02271602650609731,0.03077669789571873,0.04285887017824064,0.005623576995612872,0.038461538461538464,0.6000000000000001,0.006421338602123981,0.08571428571428572,0.022727272727272728,0.03125,0.0425531914893617,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1
7558,0.833333333333333,0.3333333333333335,0.0,0.5,0.37516126105881165,0.018243436380643963,0.0979219708987568,0.0031989845596449434,0.09701689396702884,0.0013453280500180798,0.05633939337253338,0.049450549450549455,0.4,0.00784830273592931,0.08571428571428572,0.0,0.09375,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
10834,0.5,0.3333333333333335,0.40000000000000013,0.75,0.33184781628849624,0.4059496565001103,0.08536514978139212,0.023210860237815597,0.15432243225984968,0.035663391643666935,0.015066309439460412,0.05494505494505495,0.4,0.017658681155840947,0.08571428571428572,0.022727272727272728,0.15625,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
624,0.5,0.0,0.6000000000000001,0.25,0.038156073492727316,0.5776153340440215,0.0569100998542614,0.045926886743912904,0.031215640676974757,0.035663391643666935,0.0,0.027472527472527476,0.4,0.02060179468181444,0.05714285714285714,0.045454545454545456,0.03125,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
15843,0.5,0.0,0.6000000000000001,0.25,0.038156073492727316,0.5776153340440215,0.0284550499271307,0.0686429132500102,0.061992338572693484,0.035663391643666935,0.015066309439460412,0.038461538461538464,0.4,0.014804752888230285,0.02857142857142857,0.06818181818181818,0.0625,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
7290,0.5,0.0,0.6000000000000001,0.5,0.038156073492727316,0.5776153340440215,0.0,0.11407496626220484,0.18509913015556842,0.035663391643666935,0.0,0.06043956043956045,0.4,0.01819379270601795,0.0,0.11363636363636365,0.1875,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8771,0.16666666666666696,0.3333333333333335,0.8,1.0,0.29369174279576893,0.7958907513979565,0.03655414147230694,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.006678980422817565,0.005494505494505495,0.4,0.011718942948876265,0.02857142857142857,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
14068,0.3333333333333335,0.3333333333333335,0.19999999999999996,1.0,0.3303537667603923,0.25240117034475873,0.2601687018946017,0.07196548767387917,0.048759360975837225,0.035663391643666935,0.07856428021606332,0.09340659340659341,0.4,0.23277352432699433,0.2571428571428571,0.06818181818181818,0.0,0.0,0.07575757575757576,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5331,0.16666666666666696,0.666666666666667,0.19999999999999996,0.75,0.5873834855915373,0.2808937187662227,0.00809909154517624,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.08201052762011962,0.027472527472527476,0.4,0.054581378118053844,0.0,0.0,0.0,0.0,0.07575757575757576,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
12407,0.3333333333333335,0.0,0.40000000000000013,0.75,0.03666202396462337,0.42406684788867,0.08943840233181743,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.033365351897682076,0.027472527472527476,0.4,0.040133366263274885,0.08571428571428572,0.0,0.0,0.0,0.030303030303030304,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
2919,0.16666666666666696,0.666666666666667,0.40000000000000013,1.0,0.5873834855915373,0.45255939631013403,0.12191929125369906,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.027472527472527476,0.4,0.032106693010619906,0.11428571428571428,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
5070,0.5,0.3333333333333335,0.40000000000000013,0.25,0.33184781628849624,0.4059496565001103,0.0,0.023210860237815597,0.09276903646841222,0.035663391643666935,0.04519892831838124,0.038461538461538464,0.4,0.02354490820778793,0.0,0.022727272727272728,0.09375,0.0,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
12068,0.833333333333333,0.3333333333333335,0.19999999999999996,0.75,0.37516126105881165,0.18990911392455523,0.18328712068014896,0.0031989845596449434,0.03546349817559138,0.022615130934946066,0.05633939337253338,0.06043956043956045,0.6000000000000001,0.04713846292013741,0.17142857142857143,0.0,0.03125,0.02127659574468085,0.045454545454545456,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1
11327,0.16666666666666696,0.3333333333333335,0.40000000000000013,1.0,0.29369174279576893,0.45255939631013403,0.15037434118082976,0.028862119274959512,0.048759360975837225,0.035663391643666935,0.021745289862277976,0.03296703296703297,0.4,0.0098613414246904,0.14285714285714285,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
9010,0.833333333333333,0.3333333333333335,0.6000000000000001,0.75,0.37516126105881165,0.5332404690123778,0.24019722053441034,0.0031989845596449434,0.004686800279872644,0.0013453280500180798,0.026206774493612552,0.049450549450549455,0.4,0.02051260942345161,0.22857142857142856,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
9249,0.666666666666667,0.3333333333333335,0.8,1.0,0.354777480398772,0.7217932642332774,0.004772615072904076,0.0,0.15388348947859365,0.021589067293312652,0.005623576995612872,0.03296703296703297,0.4,0.016053346505309953,0.0,0.0,0.15625,0.02127659574468085,0.0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
8043,0.3333333333333335,0.3333333333333335,0.40000000000000013,1.0,0.3303537667603923,0.42406684788867,0.032528302477556024,0.0038174081555872354,0.048759360975837225,0.035663391643666935,0.018299042458221663,0.01098901098901099,0.4,0.008829340577920473,0.02857142857142857,0.0,0.0,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
434,0.666666666666667,0.3333333333333335,0.6000000000000001,0.5,0.354777480398772,0.5501275866893661,0.03322766500003478,0.0,0.03077669789571873,0.000319264408384666,0.020689886435073284,0.016483516483516484,0.4,0.021939573557256935,0.02857142857142857,0.0,0.03125,0.0,0.015151515151515152,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1
