index,ACADEMIC_STAT_CODE
1175,유지
6357,유지
16491,유지
12527,유지
15501,유지
12969,유지
5472,유지
17119,유지
14975,유지
15362,유지
11866,유지
19869,탈락
11656,유지
13890,유지
17524,유지
15401,유지
6653,유지
12904,유지
13533,유지
4505,유지
10448,유지
18716,유지
13670,유지
6577,유지
15445,유지
1413,유지
1130,유지
14570,유지
4672,유지
4629,유지
1621,유지
19897,유지
4696,유지
11321,유지
13098,유지
14048,유지
3298,유지
16025,유지
14922,유지
13905,유지
13884,유지
4984,유지
10952,유지
6933,유지
6863,탈락
11802,유지
13952,유지
16501,유지
16067,탈락
20478,탈락
6670,유지
12646,유지
17468,유지
18559,유지
14747,유지
483,유지
3846,유지
9664,유지
1315,유지
7172,유지
14591,유지
4194,유지
9245,유지
1576,유지
11262,유지
18245,유지
14460,유지
5250,유지
15466,유지
12106,유지
16881,유지
1989,유지
12616,유지
8010,탈락
17292,유지
8407,유지
5163,유지
19339,유지
121,유지
2609,유지
19749,유지
7061,유지
4307,유지
953,유지
10557,유지
6672,유지
8109,유지
11385,유지
17813,유지
1270,유지
10011,유지
1691,유지
20451,탈락
10368,유지
10227,유지
18318,유지
17642,유지
6425,탈락
2974,유지
8122,유지
9925,유지
9990,유지
7344,유지
8267,유지
1208,유지
11958,유지
7839,유지
15005,유지
6399,유지
1090,유지
3120,유지
15197,유지
17293,유지
14795,유지
1533,유지
19219,유지
1411,유지
11277,유지
2614,유지
2636,유지
16437,유지
6045,유지
2664,유지
9595,탈락
10714,유지
6292,유지
6867,유지
11387,유지
14493,유지
11213,유지
18501,유지
13064,유지
14883,유지
19823,유지
15209,유지
13894,유지
4982,유지
1767,유지
5893,유지
13701,유지
10090,유지
11309,유지
16073,유지
8373,유지
17093,유지
14379,유지
13077,유지
9935,유지
20379,유지
4688,유지
10537,유지
7356,유지
1002,유지
9199,유지
15026,유지
5550,유지
13764,탈락
15766,유지
8503,유지
7648,유지
19199,유지
8610,유지
14554,탈락
2146,유지
10463,유지
2662,유지
15915,유지
9708,유지
3194,유지
17273,유지
2953,유지
10864,탈락
6275,유지
4245,유지
2310,유지
13603,유지
10515,유지
11187,유지
15532,유지
3795,유지
4828,유지
1280,유지
5916,유지
11212,유지
14015,유지
18140,유지
14681,유지
11285,유지
7800,유지
20449,유지
18193,유지
222,유지
3545,유지
9463,유지
2442,유지
14092,유지
5754,유지
1972,유지
1570,유지
2281,유지
6706,유지
2021,유지
7336,유지
15462,유지
17959,유지
19233,유지
2556,유지
10862,유지
13038,유지
3344,유지
902,유지
19416,유지
181,유지
10228,유지
6077,유지
1853,유지
15143,유지
9136,유지
9498,유지
5511,유지
1458,유지
20170,유지
15097,유지
8902,탈락
15651,유지
1926,유지
5802,유지
14782,유지
18800,유지
3656,유지
9272,탈락
12389,유지
18725,유지
11457,유지
12691,유지
14477,유지
8810,유지
14438,유지
11225,유지
12740,유지
18946,탈락
8295,유지
14263,유지
7285,유지
16739,유지
17245,유지
3999,유지
6561,유지
19741,유지
6462,유지
2086,유지
8727,유지
12438,유지
6455,유지
2589,유지
11988,유지
19906,유지
7921,유지
16953,유지
16550,유지
4254,유지
19050,유지
4461,유지
12344,유지
13113,유지
4229,탈락
20244,유지
884,유지
1039,유지
19896,유지
5098,유지
10381,유지
2445,유지
